Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.16097118757533e-03 1.03432075733540e+00 1.40546885515803e-04 
6.48291356272600e-03 1.03396851830192e+00 2.26572737853761e-04 
1.08048559378767e-02 1.03347239635950e+00 3.30162439114048e-04 
1.51267983130273e-02 1.03291625351272e+00 4.07424258856473e-04 
1.94487406881780e-02 1.03233842614755e+00 4.66548079931216e-04 
2.37706830633287e-02 1.03176423213765e+00 5.09778025112046e-04 
2.80926254384793e-02 1.03121523229031e+00 5.43929776544823e-04 
3.24145678136300e-02 1.03068405885001e+00 5.70797010646494e-04 
3.67365101887807e-02 1.03018484534464e+00 5.88193093659296e-04 
4.10584525639313e-02 1.02971913340128e+00 6.00670566446630e-04 
4.53803949390820e-02 1.02928479747007e+00 6.07522114424816e-04 
4.97023373142327e-02 1.02888628997474e+00 6.08042645275550e-04 
5.40242796893834e-02 1.02852321906028e+00 6.05562034372459e-04 
5.83462220645340e-02 1.02819143627811e+00 5.99205023649099e-04 
6.26681644396847e-02 1.02789337170175e+00 5.90705399068940e-04 
6.69901068148354e-02 1.02762156253661e+00 5.80698166890888e-04 
7.13120491899860e-02 1.02737824747155e+00 5.68037350739935e-04 
7.56339915651367e-02 1.02715853330898e+00 5.54612070027122e-04 
7.99559339402874e-02 1.02696211326168e+00 5.38908747083933e-04 
8.42778763154380e-02 1.02678689103204e+00 5.22652335899903e-04 
8.85998186905887e-02 1.02663049206492e+00 5.04995840426584e-04 
9.29217610657394e-02 1.02649243944664e+00 4.87327672431246e-04 
9.72437034408900e-02 1.02636901743653e+00 4.69680542283966e-04 
1.01565645816041e-01 1.02626039480339e+00 4.51330565776925e-04 
1.05887588191191e-01 1.02616385449883e+00 4.33368704706602e-04 
1.10209530566342e-01 1.02607898299258e+00 4.14665976783415e-04 
1.14531472941493e-01 1.02600427912509e+00 3.96587213031134e-04 
1.18853415316643e-01 1.02593853084669e+00 3.78377588835352e-04 
1.23175357691794e-01 1.02588109206246e+00 3.61198275049039e-04 
1.27497300066945e-01 1.02583019969644e+00 3.44774870547824e-04 
1.31819242442095e-01 1.02578575249232e+00 3.27843601775934e-04 
1.36141184817246e-01 1.02574681942128e+00 3.10836888729844e-04 
1.40463127192397e-01 1.02571319336451e+00 2.93850485241382e-04 
1.44785069567547e-01 1.02568396510429e+00 2.78181636626234e-04 
1.49107011942698e-01 1.02565854571179e+00 2.63278848998168e-04 
1.53428954317849e-01 1.02563643549319e+00 2.50628164423855e-04 
1.57750896692999e-01 1.02561667418412e+00 2.39629757437107e-04 
1.62072839068150e-01 1.02559921222827e+00 2.27646137775627e-04 
1.66394781443301e-01 1.02558398264787e+00 2.14678637182804e-04 
1.70716723818451e-01 1.02557090104208e+00 2.02502242258404e-04 
1.75038666193602e-01 1.02555942254647e+00 1.92397586966624e-04 
1.79360608568753e-01 1.02554927651253e+00 1.83149544995122e-04 
1.83682550943903e-01 1.02554029909366e+00 1.74921952846840e-04 
1.88004493319054e-01 1.02553224045352e+00 1.67357019896486e-04 
1.92326435694205e-01 1.02552506470450e+00 1.61048355687446e-04 
1.96648378069355e-01 1.02551844549651e+00 1.56180679572957e-04 
2.00970320444506e-01 1.02551237685648e+00 1.51882577492628e-04 
2.05292262819657e-01 1.02550670289793e+00 1.48638390228840e-04 
2.09614205194807e-01 1.02550136700281e+00 1.46036221445618e-04 
2.13936147569958e-01 1.02549629382205e+00 1.44522774617240e-04 
2.18258089945109e-01 1.02549137803440e+00 1.43750912881563e-04 
2.22580032320259e-01 1.02548660694508e+00 1.44108124935848e-04 
2.26901974695410e-01 1.02548183216343e+00 1.45536707132553e-04 
2.31223917070561e-01 1.02547705629127e+00 1.47788783300532e-04 
2.35545859445711e-01 1.02547216854525e+00 1.51135304015491e-04 
2.39867801820862e-01 1.02546713580316e+00 1.55259339834344e-04 
2.44189744196013e-01 1.02546188871115e+00 1.60522860382509e-04 
2.48511686571163e-01 1.02545634279629e+00 1.66580215454372e-04 
2.52833628946314e-01 1.02545046807095e+00 1.73657922706575e-04 
2.57155571321465e-01 1.02544414512435e+00 1.81605033254478e-04 
2.61477513696615e-01 1.02543735224888e+00 1.90487703972088e-04 
2.65799456071766e-01 1.02542995551553e+00 2.00420051139087e-04 
2.70121398446917e-01 1.02542189958847e+00 2.11160196956292e-04 
2.74443340822067e-01 1.02541307774364e+00 2.22964946515003e-04 
2.78765283197218e-01 1.02540337904516e+00 2.35624591841051e-04 
2.83087225572369e-01 1.02539271473362e+00 2.49564723947067e-04 
2.87409167947519e-01 1.02538088645107e+00 2.64544103052085e-04 
2.91731110322670e-01 1.02536781911844e+00 2.79858983237433e-04 
2.96053052697821e-01 1.02535343566075e+00 2.95509210486783e-04 
3.00374995072971e-01 1.02533765700845e+00 3.12601228474391e-04 
3.04696937448122e-01 1.02532017299778e+00 3.31856171098213e-04 
