Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
5.20063482347107e-03 2.41344410047889e-01 8.70424486966875e-06 
1.56019044704132e-02 2.41337695348364e-01 1.35009221913094e-05 
2.60031741173553e-02 2.41331042066655e-01 1.73255756843299e-05 
3.64044437642975e-02 2.41325174717243e-01 1.94609016403173e-05 
4.68057134112396e-02 2.41319950880356e-01 2.07938960534350e-05 
5.72069830581817e-02 2.41315393034601e-01 2.10546462289923e-05 
6.76082527051239e-02 2.41311776795002e-01 2.01030698210695e-05 
7.80095223520660e-02 2.41309110266300e-01 1.87815828039814e-05 
8.84107919990081e-02 2.41307028266560e-01 1.73054721574402e-05 
9.88120616459503e-02 2.41305565877754e-01 1.52515526068136e-05 
1.09213331292892e-01 2.41304570157529e-01 1.34551185401063e-05 
1.19614600939835e-01 2.41303831969934e-01 1.21177751113361e-05 
1.30015870586777e-01 2.41303286990437e-01 1.09441819461719e-05 
1.40417140233719e-01 2.41302868560396e-01 9.81515784414227e-06 
1.50818409880661e-01 2.41302571334997e-01 8.59759646557093e-06 
1.61219679527603e-01 2.41302357265610e-01 7.55936173909941e-06 
1.71620949174545e-01 2.41302201564605e-01 6.73181938842163e-06 
1.82022218821487e-01 2.41302081404145e-01 6.12599435715320e-06 
1.92423488468429e-01 2.41301986076901e-01 5.55103916001638e-06 
2.02824758115372e-01 2.41301914275571e-01 5.18170135184720e-06 
2.13226027762314e-01 2.41301847478795e-01 5.21496410635337e-06 
2.23627297409256e-01 2.41301780763860e-01 5.33269621704503e-06 
2.34028567056198e-01 2.41301714366997e-01 5.43770297094726e-06 
2.44429836703140e-01 2.41301648512218e-01 5.52998465254371e-06 
2.54831106350082e-01 2.41301583411308e-01 6.11556089003225e-06 
2.65232375997024e-01 2.41301495961602e-01 7.18505540727895e-06 
2.75633645643967e-01 2.41301380919988e-01 8.33485996943322e-06 
2.86034915290909e-01 2.41301233496472e-01 9.55075212082763e-06 
2.96436184937851e-01 2.41301048574799e-01 1.08593339881806e-05 
3.06837454584793e-01 2.41300818783765e-01 1.24054260036452e-05 
3.17238724231735e-01 2.41300526123534e-01 1.41483571891854e-05 
3.27639993878677e-01 2.41300161033541e-01 1.59786161579136e-05 
3.38041263525619e-01 2.41299713382625e-01 1.78961129147024e-05 
3.48442533172562e-01 2.41299172469075e-01 1.99454284209113e-05 
3.58843802819504e-01 2.41298521936495e-01 2.22067218681402e-05 
3.69245072466446e-01 2.41297738396324e-01 2.46355858491497e-05 
3.79646342113388e-01 2.41296806150366e-01 2.71653826796299e-05 
3.90047611760330e-01 2.41295708735023e-01 2.97960620027556e-05 
4.00448881407272e-01 2.41294428921432e-01 3.24975286209769e-05 
4.10850151054214e-01 2.41292953619976e-01 3.52465285028095e-05 
4.21251420701156e-01 2.41291269361587e-01 3.80696214308241e-05 
4.31652690348099e-01 2.41289358198804e-01 4.09881386356062e-05 
4.42053959995041e-01 2.41287201498094e-01 4.40020544657185e-05 
4.52455229641983e-01 2.41284779940103e-01 4.71113430397964e-05 
4.62856499288925e-01 2.41282073519922e-01 5.03159777800580e-05 
4.73257768935867e-01 2.41279061547398e-01 5.36159310306857e-05 
4.83659038582809e-01 2.41275722647461e-01 5.70111737259996e-05 
4.94060308229751e-01 2.41272034760501e-01 6.05016751022901e-05 
5.04461577876694e-01 2.41267975142768e-01 6.40558718584982e-05 
5.14862847523636e-01 2.41263528524114e-01 6.76728048472958e-05 
5.25264117170578e-01 2.41258672368186e-01 7.13800894897047e-05 
5.35665386817520e-01 2.41253382903558e-01 7.51798436258710e-05 
5.46066656464462e-01 2.41247635714099e-01 7.90720264723662e-05 
5.56467926111404e-01 2.41241405739562e-01 8.30565943492204e-05 
5.66869195758346e-01 2.41234667276208e-01 8.71335004974559e-05 
5.77270465405288e-01 2.41227393977491e-01 9.13026948996632e-05 
5.87671735052231e-01 2.41219558854789e-01 9.55641241015657e-05 
5.98073004699173e-01 2.41211134278188e-01 9.99177310288315e-05 
6.08474274346115e-01 2.41202091977332e-01 1.04363454808194e-04 
6.18875543993057e-01 2.41192403042319e-01 1.08901230583376e-04 
6.29276813639999e-01 2.41182037924674e-01 1.13530989330388e-04 
6.39678083286941e-01 2.41170966438378e-01 1.18252657669584e-04 
6.50079352933883e-01 2.41159157760966e-01 1.23066157677531e-04 
6.60480622580826e-01 2.41146580434702e-01 1.27971406694886e-04 
6.70881892227768e-01 2.41133202367820e-01 1.32968317129449e-04 
6.81283161874710e-01 2.41118990835847e-01 1.38056796261131e-04 
6.91684431521652e-01 2.41103912483007e-01 1.43236746042052e-04 
7.02085701168594e-01 2.41087933323704e-01 1.48497257224050e-04 
7.12486970815536e-01 2.41071023449936e-01 1.53833824678485e-04 
7.22888240462478e-01 2.41053150040182e-01 1.59256361526585e-04 
7.33289510109420e-01 2.41034277718693e-01 1.64769049626781e-04 
7.43690779756363e-01 2.41014370498637e-01 1.70371762923179e-04 
7.54092049403305e-01 2.40993391784008e-01 1.76064368892434e-04 
7.64493319050247e-01 2.40971304371628e-01 1.81846728327580e-04 
7.74894588697189e-01 2.40948070453263e-01 1.87718695121225e-04 
7.85295858344131e-01 2.40923651617833e-01 1.93680116043660e-04 
