Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.62667398456774e-03 7.61524388967905e-01 7.72379571386690e-05 
7.88002195370322e-03 7.61372279663183e-01 1.25723356654234e-04 
1.31333699228387e-02 7.61167986862960e-01 1.80619033146392e-04 
1.83867178919742e-02 7.60944724216791e-01 2.19649993559016e-04 
2.36400658611097e-02 7.60720813892126e-01 2.46794412907623e-04 
2.88934138302452e-02 7.60507651106881e-01 2.66845194919753e-04 
3.41467617993806e-02 7.60304069547117e-01 2.81336375048261e-04 
3.94001097685161e-02 7.60116214399152e-01 2.90015840977925e-04 
4.46534577376516e-02 7.59943976999749e-01 2.94860451665136e-04 
4.99068057067871e-02 7.59788027920272e-01 2.95844810550640e-04 
5.51601536759226e-02 7.59648542147562e-01 2.93895954858545e-04 
6.04135016450581e-02 7.59524357613775e-01 2.89991329713901e-04 
6.56668496141935e-02 7.59414236162814e-01 2.84262092430709e-04 
7.09201975833290e-02 7.59317292650799e-01 2.77216435872832e-04 
7.61735455524645e-02 7.59231935242698e-01 2.68891519804264e-04 
8.14268935216000e-02 7.59157648582995e-01 2.59640881607438e-04 
8.66802414907355e-02 7.59092705946338e-01 2.49631134748789e-04 
9.19335894598710e-02 7.59036781952570e-01 2.39225234993506e-04 
9.71869374290064e-02 7.58988047933388e-01 2.28719660346862e-04 
1.02440285398142e-01 7.58946312510637e-01 2.17897270675675e-04 
1.07693633367277e-01 7.58910144319258e-01 2.07081830744162e-04 
1.12946981336413e-01 7.58879405035203e-01 1.96128205613637e-04 
1.18200329305548e-01 7.58852912842687e-01 1.85603856410715e-04 
1.23453677274684e-01 7.58830443009155e-01 1.75341779343796e-04 
1.28707025243819e-01 7.58811067694471e-01 1.65675211353634e-04 
1.33960373212955e-01 7.58794619267576e-01 1.55584421674039e-04 
1.39213721182090e-01 7.58780717558292e-01 1.45545752425763e-04 
1.44467069151226e-01 7.58769066423961e-01 1.35983598465570e-04 
1.49720417120361e-01 7.58759221130813e-01 1.27452534310863e-04 
1.54973765089497e-01 7.58750843894016e-01 1.20155338301523e-04 
1.60227113058632e-01 7.58743570455664e-01 1.13386993906597e-04 
1.65480461027768e-01 7.58737367671813e-01 1.05912523119383e-04 
1.70733808996903e-01 7.58732190212467e-01 9.87263156353214e-05 
1.75987156966039e-01 7.58727780549695e-01 9.26563090137003e-05 
1.81240504935174e-01 7.58723997088820e-01 8.74183215174729e-05 
1.86493852904310e-01 7.58720697473656e-01 8.27755238954395e-05 
1.91747200873445e-01 7.58717825592912e-01 7.88911701798136e-05 
1.97000548842581e-01 7.58715243184963e-01 7.58287818883778e-05 
2.02253896811716e-01 7.58712920982364e-01 7.34046809180660e-05 
2.07507244780852e-01 7.58710765444588e-01 7.16085348433181e-05 
2.12760592749987e-01 7.58708767657950e-01 7.04524496972835e-05 
2.18013940719123e-01 7.58706843846797e-01 7.00290720772258e-05 
2.23267288688258e-01 7.58704986423612e-01 7.02588047027593e-05 
2.28520636657393e-01 7.58703127444140e-01 7.12386654339461e-05 
2.33773984626529e-01 7.58701253570397e-01 7.28558158562017e-05 
