Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
5.73369989287685e-03 1.96044586474501e-01 5.51785191205344e-06 
1.72010996786306e-02 1.96041089920955e-01 8.72713399365190e-06 
2.86684994643843e-02 1.96037698122142e-01 1.10982574233917e-05 
4.01358992501380e-02 1.96034761580443e-01 1.23479343826235e-05 
5.16032990358917e-02 1.96032199236854e-01 1.29442446232941e-05 
6.30706988216454e-02 1.96030093543367e-01 1.26231647064316e-05 
7.45380986073991e-02 1.96028586993372e-01 1.17894680612601e-05 
8.60054983931528e-02 1.96027431964372e-01 1.08923112628738e-05 
9.74728981789065e-02 1.96026625562518e-01 9.55716871182772e-06 
1.08940297964660e-01 1.96026105048461e-01 8.29017252221319e-06 
1.20407697750414e-01 1.96025729982023e-01 7.40524447788750e-06 
1.31875097536168e-01 1.96025458973706e-01 6.61582079125460e-06 
1.43342497321921e-01 1.96025259179687e-01 5.80957006446846e-06 
1.54809897107675e-01 1.96025126294071e-01 5.00599989455815e-06 
1.66277296893429e-01 1.96025029864099e-01 4.39096068188329e-06 
1.77744696679182e-01 1.96024962276318e-01 3.89280425869254e-06 
1.89212096464936e-01 1.96024908894709e-01 3.52830254826274e-06 
2.00679496250690e-01 1.96024869076685e-01 3.23448556053111e-06 
2.12146896036444e-01 1.96024834847207e-01 3.19644939187811e-06 
2.23614295822197e-01 1.96024800649663e-01 3.27667637311825e-06 
2.35081695607951e-01 1.96024766631615e-01 3.34739859466996e-06 
2.46549095393705e-01 1.96024732932233e-01 3.47354169062848e-06 
2.58016495179458e-01 1.96024697152024e-01 3.95472565983068e-06 
2.69483894965212e-01 1.96024647548816e-01 4.70462910977098e-06 
2.80951294750966e-01 1.96024581269197e-01 5.50401582969214e-06 
2.92418694536719e-01 1.96024495235660e-01 6.35277790992055e-06 
3.03886094322473e-01 1.96024386146606e-01 7.35095838678645e-06 
3.15353494108227e-01 1.96024244071917e-01 8.50346920151824e-06 
3.26820893893981e-01 1.96024062070987e-01 9.73555663788151e-06 
3.38288293679734e-01 1.96023833878530e-01 1.10328629524468e-05 
3.49755693465488e-01 1.96023552837334e-01 1.24372100875042e-05 
3.61223093251242e-01 1.96023207898133e-01 1.39904412358061e-05 
3.72690493036995e-01 1.96022785807257e-01 1.56550093962491e-05 
3.84157892822749e-01 1.96022276651145e-01 1.73950048533269e-05 
3.95625292608503e-01 1.96021669990360e-01 1.92059509609904e-05 
4.07092692394256e-01 1.96020955443964e-01 2.10545085836361e-05 
4.18560092180010e-01 1.96020126386568e-01 2.29471772111762e-05 
4.30027491965764e-01 1.96019171768368e-01 2.49111720376459e-05 
4.41494891751518e-01 1.96018080067894e-01 2.69464759382984e-05 
4.52962291537271e-01 1.96016839292109e-01 2.90530726886828e-05 
4.64429691323025e-01 1.96015436976533e-01 3.12309464630006e-05 
4.75897091108779e-01 1.96013860185369e-01 3.34800814508671e-05 
4.87364490894532e-01 1.96012095511654e-01 3.58004615448518e-05 
4.98831890680286e-01 1.96010129077417e-01 3.81829551263591e-05 
5.10299290466040e-01 1.96007948456242e-01 4.06139851085461e-05 
5.21766690251794e-01 1.96005542159293e-01 4.31020842518264e-05 
5.33234090037547e-01 1.96002895524611e-01 4.56593774169695e-05 
5.44701489823301e-01 1.95999993445841e-01 4.82858449067114e-05 
5.56168889609055e-01 1.95996820372487e-01 5.09814656500926e-05 
5.67636289394808e-01 1.95993360310176e-01 5.37462170794173e-05 
5.79103689180562e-01 1.95989596820956e-01 5.65800750150511e-05 
5.90571088966316e-01 1.95985513023608e-01 5.94830135482563e-05 
6.02038488752070e-01 1.95981091593996e-01 6.24550049266130e-05 
6.13505888537823e-01 1.95976314765436e-01 6.54960194437096e-05 
6.24973288323577e-01 1.95971164329098e-01 6.86060253255125e-05 
6.36440688109331e-01 1.95965621634436e-01 7.17849886180255e-05 
6.47908087895084e-01 1.95959667589652e-01 7.50328730731321e-05 
6.59375487680838e-01 1.95953282662195e-01 7.83496400370582e-05 
6.70842887466592e-01 1.95946446879288e-01 8.17352483323367e-05 
6.82310287252345e-01 1.95939139828502e-01 8.51896541398548e-05 
6.93777687038099e-01 1.95931340658358e-01 8.87128108837194e-05 
7.05245086823853e-01 1.95923028078975e-01 9.22945792758248e-05 
7.16712486609607e-01 1.95914184044653e-01 9.59347427190133e-05 
7.28179886395360e-01 1.95904786849215e-01 9.96424296209092e-05 
7.39647286181114e-01 1.95894814201015e-01 1.03417997219793e-04 
7.51114685966868e-01 1.95884243381311e-01 1.07261384185286e-04 
7.62582085752621e-01 1.95873051245121e-01 1.11172525751417e-04 
7.74049485538375e-01 1.95861214222125e-01 1.15151353588121e-04 
7.85516885324129e-01 1.95848708317616e-01 1.19197795673646e-04 
7.96984285109883e-01 1.95835509113506e-01 1.23311776163459e-04 
8.08451684895636e-01 1.95821591769389e-01 1.27493215256612e-04 
8.19919084681390e-01 1.95806931023652e-01 1.31742029061847e-04 
8.31386484467144e-01 1.95791501194654e-01 1.36058129460122e-04 
8.42853884252897e-01 1.95775276181961e-01 1.40441423967064e-04 
8.54321284038651e-01 1.95758229467642e-01 1.44891815592130e-04 
8.65788683824405e-01 1.95740334117631e-01 1.49409202696806e-04 
8.77256083610158e-01 1.95721562783157e-01 1.53993478849717e-04 
8.88723483395912e-01 1.95701887702238e-01 1.58644532681001e-04 
9.00190883181666e-01 1.95681280701252e-01 1.63362247735264e-04 
9.11658282967420e-01 1.95659713196573e-01 1.68146502321267e-04 
9.23125682753173e-01 1.95637156196286e-01 1.72997169361427e-04 
