Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
9.42824571161618e-04 1.53344244928579e+01 1.54795405569110e-02 
2.82847371348486e-03 1.50709070425829e+01 1.99274228033027e-02 
4.71412285580809e-03 1.47037314317590e+01 2.70658491335815e-02 
6.59977199813133e-03 1.42945521425818e+01 3.18361337503314e-02 
8.48542114045456e-03 1.38790039685937e+01 3.53082416700002e-02 
1.03710702827778e-02 1.34700485168948e+01 3.79964376082623e-02 
1.22567194251010e-02 1.30709380149545e+01 4.01378369155969e-02 
1.41423685674243e-02 1.26831995372558e+01 4.18107471177905e-02 
1.60280177097475e-02 1.23130299434534e+01 4.31999452261843e-02 
1.79136668520707e-02 1.19506406542692e+01 4.43609709443376e-02 
1.97993159943940e-02 1.15996752252429e+01 4.52517468001527e-02 
2.16849651367172e-02 1.12606829756150e+01 4.59539613873627e-02 
2.35706142790405e-02 1.09322814017699e+01 4.64793755633639e-02 
2.54562634213637e-02 1.06162205562551e+01 4.68190869772975e-02 
2.73419125636869e-02 1.03138941133213e+01 4.69944516830307e-02 
2.92275617060102e-02 1.00264177759161e+01 4.70305133683903e-02 
3.11132108483334e-02 9.75400431845481e+00 4.70577207862949e-02 
3.29988599906566e-02 9.49039875910622e+00 4.70877184173400e-02 
3.48845091329799e-02 9.23622084131467e+00 4.70149677361274e-02 
3.67701582753031e-02 8.99196379008672e+00 4.68502271198051e-02 
3.86558074176264e-02 8.75801592703327e+00 4.66019314121864e-02 
4.05414565599496e-02 8.53467883292300e+00 4.63388114568204e-02 
4.24271057022728e-02 8.31951600871967e+00 4.60897391652251e-02 
4.43127548445961e-02 8.11202541852987e+00 4.57978893228588e-02 
4.61984039869193e-02 7.91238753855290e+00 4.54505455668318e-02 
4.80840531292425e-02 7.72073588959142e+00 4.50525118901953e-02 
4.99697022715658e-02 7.53716423090592e+00 4.46153775617843e-02 
5.18553514138890e-02 7.36148085822887e+00 4.41517203418500e-02 
5.37410005562122e-02 7.19345506279223e+00 4.36568190571138e-02 
5.56266496985355e-02 7.03310680294930e+00 4.31233983196269e-02 
5.75122988408587e-02 6.88043538749518e+00 4.25525395821799e-02 
5.93979479831820e-02 6.73542281559101e+00 4.19445810055143e-02 
6.12835971255052e-02 6.59803657893347e+00 4.12991275134340e-02 
6.31692462678284e-02 6.46823195913752e+00 4.06150543711375e-02 
6.50548954101517e-02 6.34595384343142e+00 3.98905054827261e-02 
6.69405445524749e-02 6.23113807259913e+00 3.91228878069452e-02 
6.88261936947981e-02 6.12371232659900e+00 3.83088635844743e-02 
7.07118428371214e-02 6.02359654547353e+00 3.76252237819264e-02 
7.25974919794446e-02 5.92803374605669e+00 3.71218577910639e-02 
7.44831411217678e-02 5.83663321827457e+00 3.66196229393584e-02 
7.63687902640911e-02 5.74937883974501e+00 3.60918446954878e-02 
7.82544394064143e-02 5.66624880459159e+00 3.55382465669575e-02 
8.01400885487376e-02 5.58721615910428e+00 3.49582943824974e-02 
8.20257376910608e-02 5.51224922668222e+00 3.43512000000872e-02 
8.39113868333840e-02 5.44131192442397e+00 3.37159248969060e-02 
8.57970359757073e-02 5.37436397299361e+00 3.30511839570740e-02 
8.76826851180305e-02 5.31136100075590e+00 3.23554498199064e-02 
8.95683342603537e-02 5.25225454265838e+00 3.16269582044470e-02 
9.14539834026770e-02 5.19699193396917e+00 3.08637146852016e-02 
9.33396325450002e-02 5.14551609878463e+00 3.00635034587768e-02 
9.52252816873234e-02 5.09776523323715e+00 2.92238987109845e-02 
9.71109308296467e-02 5.05367238360099e+00 2.83422792681283e-02 
9.89965799719699e-02 5.01316492005811e+00 2.74158472939178e-02 
1.00882229114293e-01 4.97616390779713e+00 2.67193980312757e-02 
1.02767878256616e-01 4.94087839415040e+00 2.62969304693018e-02 
1.04653527398940e-01 4.90724203972304e+00 2.58643030049800e-02 
1.06539176541263e-01 4.87524459955421e+00 2.54114858185577e-02 
1.08424825683586e-01 4.84487380520501e+00 2.49380576128749e-02 
1.10310474825909e-01 4.81611536592041e+00 2.44435412349777e-02 
1.12196123968233e-01 4.78895295489504e+00 2.39274064895505e-02 
1.14081773110556e-01 4.76336818097234e+00 2.33890732854565e-02 
1.15967422252879e-01 4.73934054614696e+00 2.28279151647467e-02 
1.17853071395202e-01 4.71684738929339e+00 2.22432632670297e-02 
1.19738720537526e-01 4.69586381661053e+00 2.16945336364656e-02 
1.21624369679849e-01 4.67611834823960e+00 2.12968445628951e-02 
1.23510018822172e-01 4.65716795695979e+00 2.09973550475613e-02 
1.25395667964495e-01 4.63900981918247e+00 2.06843544717928e-02 
1.27281317106818e-01 4.62164020753715e+00 2.03577172980478e-02 
1.29166966249142e-01 4.60505449410290e+00 2.00173003580871e-02 
1.31052615391465e-01 4.58924715076060e+00 1.96629436877046e-02 
1.32938264533788e-01 4.57421174673555e+00 1.92944714292492e-02 
1.34823913676111e-01 4.55994094340669e+00 1.89116928078995e-02 
1.36709562818435e-01 4.54642648646682e+00 1.85144031880526e-02 
1.38595211960758e-01 4.53365919552683e+00 1.81023852166266e-02 
1.40480861103081e-01 4.52162895126666e+00 1.76754100605742e-02 
1.42366510245404e-01 4.51032468024671e+00 1.72332387464966e-02 
1.44252159387728e-01 4.49973433750519e+00 1.67756236109958e-02 
1.46137808530051e-01 4.48984488708002e+00 1.63023098713566e-02 
1.48023457672374e-01 4.48064228060813e+00 1.58130373274836e-02 
1.49909106814697e-01 4.47211143417020e+00 1.53639162873111e-02 
1.51794755957021e-01 4.46410985603361e+00 1.50304630761924e-02 
1.53680405099344e-01 4.45647729580664e+00 1.47596020232802e-02 
1.55566054241667e-01 4.44921035872421e+00 1.44791112823727e-02 
1.57451703383990e-01 4.44230524217400e+00 1.41889189017414e-02 
1.59337352526314e-01 4.43575773314231e+00 1.38889493693586e-02 
1.61223001668637e-01 4.42956320520311e+00 1.35791240001190e-02 
1.63108650810960e-01 4.42371661507426e+00 1.32593613480735e-02 
1.64994299953283e-01 4.41821249876687e+00 1.29295776454520e-02 
1.66879949095606e-01 4.41304496735553e+00 1.25896872706544e-02 
1.68765598237930e-01 4.40820770239956e+00 1.22396032477470e-02 
1.70651247380253e-01 4.40369395104723e+00 1.19704256414478e-02 
1.72536896522576e-01 4.39935867641260e+00 1.18064098238836e-02 
1.74422545664899e-01 4.39517564406648e+00 1.16542940680177e-02 
1.76308194807223e-01 4.39114425419973e+00 1.14967480714879e-02 
1.78193843949546e-01 4.38726377583103e+00 1.13337584720545e-02 
1.80079493091869e-01 4.38353334675871e+00 1.11653107967069e-02 
1.81965142234192e-01 4.37995197344600e+00 1.09913895224173e-02 
1.83850791376516e-01 4.37651853084158e+00 1.08119781401656e-02 
1.85736440518839e-01 4.37323176213754e+00 1.06270592223902e-02 
1.87622089661162e-01 4.37009027846706e+00 1.04366144940564e-02 
1.89507738803485e-01 4.36709255854402e+00 1.02406249074621e-02 
1.91393387945809e-01 4.36423694824735e+00 1.00390707209859e-02 
1.93279037088132e-01 4.36152166015261e+00 9.83193158204999e-03 
1.95164686230455e-01 4.35894477301384e+00 9.61918661457098e-03 
1.97050335372778e-01 4.35650423119867e+00 9.40081451121979e-03 
1.98935984515101e-01 4.35419784407999e+00 9.17679363099048e-03 
2.00821633657425e-01 4.35202328538750e+00 9.07295551456211e-03 
2.02707282799748e-01 4.34985695723521e+00 9.10450246855080e-03 
2.04592931942071e-01 4.34769072016496e+00 9.14398503709542e-03 
2.06478581084394e-01 4.34552484353101e+00 9.18268384104235e-03 
2.08364230226718e-01 4.34335959380410e+00 9.22060060983868e-03 
2.10249879369041e-01 4.34119523457900e+00 9.25773707157017e-03 
2.12135528511364e-01 4.33903202658213e+00 9.29409495245896e-03 
2.14021177653687e-01 4.33687022767936e+00 9.32967597637842e-03 
2.15906826796011e-01 4.33471009288384e+00 9.36448186433724e-03 
2.17792475938334e-01 4.33255187436400e+00 9.39851433402301e-03 
2.19678125080657e-01 4.33039582145155e+00 9.43177509932332e-03 
2.21563774222980e-01 4.32824218064967e+00 9.46426586984347e-03 
2.23449423365304e-01 4.32609119564119e+00 9.49598835045376e-03 
2.25335072507627e-01 4.32394310729695e+00 9.52694424083996e-03 
2.27220721649950e-01 4.32179815368414e+00 9.55713523506685e-03 
2.29106370792273e-01 4.31965657007477e+00 9.58656302113732e-03 
2.30992019934596e-01 4.31751858895416e+00 9.61522928056104e-03 
2.32877669076920e-01 4.31538444002954e+00 9.64313568792272e-03 
2.34763318219243e-01 4.31325435023869e+00 9.67028391048256e-03 
2.36648967361566e-01 4.31112854375859e+00 9.69667560776906e-03 
2.38534616503889e-01 4.30900724201419e+00 9.72231243115812e-03 
2.40420265646213e-01 4.30689066368720e+00 9.74719602351357e-03 
2.42305914788536e-01 4.30477902472484e+00 9.77132801878219e-03 
2.44191563930859e-01 4.30267253834879e+00 9.79471004160372e-03 
2.46077213073182e-01 4.30057141506400e+00 9.81734370695716e-03 
2.47962862215506e-01 4.29847586266765e+00 9.83923061980277e-03 
2.49848511357829e-01 4.29638608625809e+00 9.92344248730275e-03 
2.51734160500152e-01 4.29424857461149e+00 1.01591716868272e-02 
2.53619809642475e-01 4.29198618624433e+00 1.04822240220441e-02 
2.55505458784799e-01 4.28959480613367e+00 1.08079931113713e-02 
2.57391107927122e-01 4.28707028960181e+00 1.11364117378281e-02 
2.59276757069445e-01 4.28440846432527e+00 1.14674102308524e-02 
2.61162406211768e-01 4.28160513241812e+00 1.18009164335405e-02 
2.63048055354091e-01 4.27865607259025e+00 1.21368556718026e-02 
2.64933704496415e-01 4.27555704238126e+00 1.24751507254799e-02 
2.66819353638738e-01 4.27230378047024e+00 1.28157218015772e-02 
2.68705002781061e-01 4.26889200906195e+00 1.31584865096573e-02 
2.70590651923384e-01 4.26531743634957e+00 1.35033598395229e-02 
2.72476301065708e-01 4.26157575905415e+00 1.38502541412525e-02 
2.74361950208031e-01 4.25766266504076e+00 1.41990791077284e-02 
2.76247599350354e-01 4.25357383601127e+00 1.45497417597411e-02 
2.78133248492677e-01 4.24930495027355e+00 1.49021464337398e-02 
2.80018897635001e-01 4.24485168558663e+00 1.52561947724142e-02 
2.81904546777324e-01 4.24020972208140e+00 1.56117857181332e-02 
2.83790195919647e-01 4.23537474525624e+00 1.59688155093754e-02 
2.85675845061970e-01 4.23034244904664e+00 1.63271776802581e-02 
2.87561494204294e-01 4.22510853896813e+00 1.66867630632509e-02 
2.89447143346617e-01 4.21966873533120e+00 1.70474597952025e-02 
2.91332792488940e-01 4.21401877652709e+00 1.74091533267480e-02 
2.93218441631263e-01 4.20815442238305e+00 1.77717264352032e-02 
2.95104090773587e-01 4.20207145758551e+00 1.81350592410601e-02 
2.96989739915910e-01 4.19576569516932e+00 1.84990292281498e-02 
2.98875389058233e-01 4.18923298007136e+00 1.88635112675832e-02 
3.00761038200556e-01 4.18246919274627e+00 1.92697756003773e-02 
3.02646687342879e-01 4.17541009120675e+00 1.97204875930686e-02 
3.04532336485203e-01 4.16804278061808e+00 2.01754806382866e-02 
3.06417985627526e-01 4.16036074424473e+00 2.06302935773048e-02 
3.08303634769849e-01 4.15235755178939e+00 2.10847027904808e-02 
3.10189283912172e-01 4.14402686751877e+00 2.15384802170539e-02 
3.12074933054496e-01 4.13536245850313e+00 2.19913934816161e-02 
3.13960582196819e-01 4.12635820295968e+00 2.24432060317990e-02 
3.15846231339142e-01 4.11700809868972e+00 2.28936772872432e-02 
3.17731880481465e-01 4.10730627159839e+00 2.33425627999794e-02 
3.19617529623789e-01 4.09724698428554e+00 2.37896144262313e-02 
3.21503178766112e-01 4.08682464469567e+00 2.42345805096738e-02 
3.23388827908435e-01 4.07603381481407e+00 2.46772060761575e-02 
3.25274477050758e-01 4.06486921939601e+00 2.51172330398479e-02 
3.27160126193082e-01 4.05332575471507e+00 2.55544004207308e-02 
3.29045775335405e-01 4.04139849731626e+00 2.59884445733834e-02 
3.30931424477728e-01 4.02908271275897e+00 2.64190994268820e-02 
3.32817073620051e-01 4.01637386433450e+00 2.68460967356962e-02 
3.34702722762375e-01 4.00326762174213e+00 2.72691663413811e-02 
3.36588371904698e-01 3.98975986970753e+00 2.76880364448351e-02 
3.38474021047021e-01 3.97584671652677e+00 2.81024338888644e-02 
3.40359670189344e-01 3.96152450251877e+00 2.85120844507592e-02 
3.42245319331667e-01 3.94678980836876e+00 2.89167131445529e-02 
3.44130968473991e-01 3.93163946334496e+00 2.93160445326005e-02 
3.46016617616314e-01 3.91607055337040e+00 2.97098030460586e-02 
3.47902266758637e-01 3.90008042893168e+00 3.00977133138490e-02 
3.49787915900960e-01 3.88366671280605e+00 3.04904647875535e-02 
3.51673565043284e-01 3.86680187856522e+00 3.09044969643217e-02 
3.53559214185607e-01 3.84944304659625e+00 3.13277672086749e-02 
3.55444863327930e-01 3.83158763466765e+00 3.17428506308536e-02 
3.57330512470253e-01 3.81323346245275e+00 3.21493975248180e-02 
3.59216161612577e-01 3.79437876158104e+00 3.25470612933560e-02 
3.61101810754900e-01 3.77502218523812e+00 3.29354990157985e-02 
3.62987459897223e-01 3.75516281728217e+00 3.33143720216491e-02 
3.64873109039546e-01 3.73480018084509e+00 3.36833464687616e-02 
3.66758758181870e-01 3.71393424638729e+00 3.40420939247016e-02 
3.68644407324193e-01 3.69256543917541e+00 3.43902919498678e-02 
3.70530056466516e-01 3.67069464615337e+00 3.47276246808754e-02 
3.72415705608839e-01 3.64832322217778e+00 3.50537834127134e-02 
3.74301354751162e-01 3.62545299558985e+00 3.53684671781262e-02 
