RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+3.76493580679247e-02 +3.35941188236517e+25 +3.37440653917923e+25 +1.27044240060305e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40079234883207e+25 +2.57744386397827e+25 +5.12069553364666e-01 +9.95556357350555e-01 +3.41379702243111e-01 
+4.32876128108306e-02 +3.22419320995221e+25 +3.04045841161601e+25 +1.31614186489467e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40245907603448e+25 +2.46264385848933e+25 +5.42479862104356e-01 +1.06042996596640e+00 +3.61653241402904e-01 
+4.97702356433211e-02 +3.09104798857863e+25 +2.74114486074002e+25 +1.36427425651510e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.40564707860216e+25 +2.35664766277876e+25 +5.75342276719221e-01 +1.12764853578156e+00 +3.83561517812814e-01 
+5.72236765935022e-02 +2.96054788590316e+25 +2.47265512112918e+25 +1.41494416978763e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.41072136679715e+25 +2.25881026212253e+25 +6.10915094127114e-01 +1.19731533144468e+00 +4.07276729418076e-01 
+6.57933224657568e-02 +2.83304123474201e+25 +2.23164101216805e+25 +1.46827076741380e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.41800015867498e+25 +2.16858102171586e+25 +6.49476520530569e-01 +1.26948788774485e+00 +4.32984347020379e-01 
+7.56463327554629e-02 +2.70927401216758e+25 +2.01523253454192e+25 +1.52444950887593e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.42795412906331e+25 +2.08561264387760e+25 +6.91344608793683e-01 +1.34439771377719e+00 +4.60896405862455e-01 
+8.69749002617783e-02 +2.58925554717928e+25 +1.82093119837051e+25 +1.58375309361836e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.44093520406567e+25 +2.00967693810706e+25 +7.36894969899892e-01 +1.42194035090195e+00 +4.91263313266595e-01 
+1.00000000000000e-01 +2.47321417540048e+25 +1.64643438956823e+25 +1.64643438956823e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.45744355332739e+25 +1.94040728855375e+25 +7.86555354784459e-01 +1.50216382205736e+00 +5.24370236522973e-01 
+1.14975699539774e-01 +2.36167112282828e+25 +1.48951614815070e+25 +1.71258161109416e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.47801081662696e+25 +1.87705805567310e+25 +8.40766228326929e-01 +1.58552904965844e+00 +5.60510818884620e-01 
+1.32194114846603e-01 +2.25458981092503e+25 +1.34802867916158e+25 +1.78201458029600e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.50294761170357e+25 +1.81846414941220e+25 +8.99919108560851e-01 +1.67250878692529e+00 +5.99946072373900e-01 
+1.51991108295293e-01 +2.15262165041767e+25 +1.22001092329612e+25 +1.85430812364142e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.53254312345581e+25 +1.76323777683656e+25 +9.64316546534347e-01 +1.76442817790672e+00 +6.42877697689565e-01 
+1.74752840000768e-01 +2.05505529542523e+25 +1.10377711901855e+25 +1.92888186276357e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.56653597457125e+25 +1.71000065460446e+25 +1.03414630477228e+00 +1.86183900718338e+00 +6.89430869848184e-01 
+2.00923300256505e-01 +1.96288010745284e+25 +9.97948146360325e+24 +2.00511035051578e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.60482818683120e+25 +1.65757675180277e+25 +1.10949533958475e+00 +1.96691593106493e+00 +7.39663559723169e-01 
+2.31012970008316e-01 +1.87602011473305e+25 +9.01443528224845e+24 +2.08245146749997e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.64691935162493e+25 +1.60514665748044e+25 +1.19038066973741e+00 +2.08112882947574e+00 +7.93587113158275e-01 
+2.65608778294669e-01 +1.79391992734279e+25 +8.13451725715003e+24 +2.16059919068852e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.69212719899907e+25 +1.55238232217091e+25 +1.27681736639218e+00 +2.20531823909524e+00 +8.51211577594788e-01 
+3.05385550883342e-01 +1.71670317917254e+25 +7.33368920320655e+24 +2.23960271732845e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.73996860458504e+25 +1.49947841652754e+25 +1.36890377048616e+00 +2.34084528482872e+00 +9.12602513657438e-01 
+3.51119173421513e-01 +1.64385795855932e+25 +6.60711867837127e+24 +2.31988604904756e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.79002730798541e+25 +1.44701184750494e+25 +1.46690675382190e+00 +2.48801033942461e+00 +9.77937835881266e-01 
+4.03701725859655e-01 +1.57539508138877e+25 +5.95026425743290e+24 +2.40213195004668e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.84223582434416e+25 +1.39569584126957e+25 +1.57130177250026e+00 +2.64760523773517e+00 +1.04753451500017e+00 
+4.64158883361278e-01 +1.51010065524580e+25 +5.35825419734991e+24 +2.48708128500782e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.89648039813481e+25 +1.34613010734935e+25 +1.68274680665317e+00 +2.81826990588215e+00 +1.12183120443545e+00 
+5.33669923120631e-01 +1.44847395344385e+25 +4.82575755383129e+24 +2.57536166275195e+03 +0.00000000000000e+00 +0.00000000000000e+00 +1.95316725373005e+25 +1.29866858788522e+25 +1.80202556073293e+00 +3.00154729549947e+00 +1.20135037382195e+00 
+6.13590727341317e-01 +1.38982204421286e+25 +4.34718778431504e+24 +2.66739411446716e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.01249711606493e+25 +1.25341402660302e+25 +1.92996677935512e+00 +3.19706006082238e+00 +1.28664451957008e+00 
+7.05480231071864e-01 +1.33388370927875e+25 +3.91706546788821e+24 +2.76341225140939e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.07476112369674e+25 +1.21029919357995e+25 +2.06741339354004e+00 +3.40531379986836e+00 +1.37827559569336e+00 
+8.11130830789687e-01 +1.28067842134255e+25 +3.53023969883793e+24 +2.86348625980514e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.14026910628576e+25 +1.16914017328307e+25 +2.21518517817939e+00 +3.62773786087138e+00 +1.47679011878626e+00 
+9.32603346883220e-01 +1.22980852414636e+25 +3.18199079361339e+24 +2.96753526387544e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.20911145968923e+25 +1.12967019385264e+25 +2.37406752538353e+00 +3.86490283571758e+00 +1.58271168358902e+00 
+1.07226722201032e+00 +1.18131567366731e+25 +2.86804149370463e+24 +3.07530688506501e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.28135792192117e+25 +1.09155065651638e+25 +2.54474671279886e+00 +4.11889324565319e+00 +1.69649780853257e+00 
+1.23284673944207e+00 +1.13509952009560e+25 +2.58457041318281e+24 +3.18637920675086e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.35686776328932e+25 +1.05440122504596e+25 +2.72778471771559e+00 +4.39183051197188e+00 +1.81852314514373e+00 
+1.41747416292681e+00 +1.09118806117088e+25 +2.32819646795613e+24 +3.30015833954525e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.43530306472520e+25 +1.01781230558295e+25 +2.92357737955652e+00 +4.68683840126607e+00 +1.94905158637101e+00 
+1.62975083462064e+00 +1.04920359578444e+25 +2.09593141040499e+24 +3.41584596541516e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.51599169974271e+25 +9.81361046631342e+24 +3.13227639757706e+00 +5.00590615979033e+00 +2.08818426505137e+00 
+1.87381742286038e+00 +1.00928973005027e+25 +1.88524727914430e+24 +3.53260919806071e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.59810069653189e+25 +9.44722674016668e+24 +3.35381133062945e+00 +5.35361987371958e+00 +2.23587422041963e+00 
+2.15443469003188e+00 +9.71164141754368e+24 +1.69415055578368e+24 +3.64993672751716e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.68062156821918e+25 +9.07831229039227e+24 +3.58804789293616e+00 +5.73245475993204e+00 +2.39203192862411e+00 
+2.47707635599171e+00 +9.34832455035215e+24 +1.52124987741964e+24 +3.76825210291148e+03 +0.00000000000000e+00 +0.00000000000000e+00 +2.76272176031818e+25 +8.71003530439463e+24 +3.83507464043363e+00 +6.14516042966517e+00 +2.55671642695575e+00 
+2.84803586843580e+00 +8.99872238071497e+24 +1.36624983908504e+24 +3.89112854695883e+03 +3.72534915898974e-44 +0.00000000000000e+00 +2.84367863768714e+25 +8.35071472283736e+24 +4.09476119489800e+00 +6.58643984671303e+00 +2.72984079659867e+00 
+3.27454916287773e+00 +8.67520150636952e+24 +1.23209130521198e+24 +4.03454355207081e+03 +8.88913021906979e-41 +0.00000000000000e+00 +2.92231828893220e+25 +8.01791772058455e+24 +4.36306445770305e+00 +7.04103784327654e+00 +2.90870963846870e+00 
+3.76493580679247e+00 +8.39399838084670e+24 +1.12694972334427e+24 +4.24289336587372e+03 +5.83201983143685e-38 +0.00000000000000e+00 +2.99488617925235e+25 +7.74128650968037e+24 +4.62478454468258e+00 +7.44842312568935e+00 +3.08318969645505e+00 
+4.32876128108306e+00 +8.17683145767099e+24 +1.05918854105406e+24 +4.58497434588168e+03 +1.25753562966055e-35 +0.00000000000000e+00 +3.05566557818992e+25 +7.54946822711916e+24 +4.85457365817885e+00 +7.71990173678968e+00 +3.23638243878590e+00 
+4.97702356433211e+00 +8.03454516999887e+24 +1.02772554693692e+24 +5.11501426477114e+03 +1.08631080001664e-33 +0.00000000000000e+00 +3.10125668042230e+25 +7.44696363976136e+24 +5.03352275172393e+00 +7.81779259447759e+00 +3.35568183448262e+00 
+5.72236765935022e+00 +7.95268198534125e+24 +1.02143875142483e+24 +5.84504807716052e+03 +4.52127748543181e-32 +0.00000000000000e+00 +3.13300718505892e+25 +7.41212287525228e+24 +5.16144000626992e+00 +7.78576490685109e+00 +3.44096000417995e+00 
+6.57933224657568e+00 +7.91080036778766e+24 +1.02716867814974e+24 +6.75808400682309e+03 +1.04634685523154e-30 +0.00000000000000e+00 +3.15525740264685e+25 +7.41583604312949e+24 +5.25114681218707e+00 +7.70155918503820e+00 +3.50076454145805e+00 
+7.56463327554629e+00 +7.88644690408568e+24 +1.03527580960107e+24 +7.83148183867641e+03 +1.52400660583540e-29 +0.00000000000000e+00 +3.17223398670624e+25 +7.43576785811542e+24 +5.31747919843900e+00 +7.61772547078502e+00 +3.54498613229266e+00 
+8.69749002617784e+00 +7.86873875855825e+24 +1.04173320128682e+24 +9.06046412813039e+03 +1.52247154498091e-28 +0.00000000000000e+00 +3.18697024658610e+25 +7.45979438754934e+24 +5.37160088102347e+00 +7.55350674130216e+00 +3.58106725401565e+00 
