Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
3.69599407386545e-03 4.05078293104387e-01 2.68831794869410e-05 
1.10879822215963e-02 4.05046768417016e-01 3.81915512037245e-05 
1.84799703693272e-02 4.05014689302141e-01 5.08916543154035e-05 
2.58719585170581e-02 4.04982717279331e-01 5.89581954063542e-05 
3.32639466647890e-02 4.04954026871360e-01 6.41484719965058e-05 
4.06559348125199e-02 4.04927285869099e-01 6.82925133270722e-05 
4.80479229602508e-02 4.04902788295114e-01 7.08163084755447e-05 
5.54399111079817e-02 4.04880755413927e-01 7.14490754496195e-05 
6.28318992557126e-02 4.04861792287329e-01 6.96198542385206e-05 
7.02238874034435e-02 4.04846462851574e-01 6.63872617600695e-05 
7.76158755511744e-02 4.04833911559842e-01 6.35491410227553e-05 
8.50078636989053e-02 4.04823355398730e-01 6.03434248401032e-05 
9.23998518466362e-02 4.04814910073581e-01 5.55406466605634e-05 
9.97918399943671e-02 4.04808572551271e-01 5.02194367647745e-05 
1.07183828142098e-01 4.04803717933079e-01 4.61965656476987e-05 
1.14575816289829e-01 4.04799745699708e-01 4.27847660496578e-05 
1.21967804437560e-01 4.04796643263216e-01 3.95189655613392e-05 
1.29359792585291e-01 4.04794070238714e-01 3.70873315214184e-05 
1.36751780733022e-01 4.04791930917784e-01 3.45010565767349e-05 
1.44143768880752e-01 4.04790215746570e-01 3.14119077258885e-05 
1.51535757028483e-01 4.04788903400656e-01 2.84495342838464e-05 
1.58927745176214e-01 4.04787851107243e-01 2.61274697673102e-05 
1.66319733323945e-01 4.04787001703041e-01 2.38102732757329e-05 
1.73711721471676e-01 4.04786343550262e-01 2.19532205319697e-05 
1.81103709619407e-01 4.04785772080191e-01 2.07927247142236e-05 
1.88495697767138e-01 4.04785285872119e-01 1.94622348026122e-05 
1.95887685914869e-01 4.04784882181968e-01 1.79623356265806e-05 
2.03279674062600e-01 4.04784556942284e-01 1.72185441220924e-05 
2.10671662210330e-01 4.04784235488585e-01 1.74769163605675e-05 
2.18063650358061e-01 4.04783914111037e-01 1.77707378306500e-05 
2.25455638505792e-01 4.04783593395466e-01 1.80428935329806e-05 
2.32847626653523e-01 4.04783273906581e-01 1.82933836978699e-05 
2.40239614801254e-01 4.04782956187973e-01 1.85222085585222e-05 
2.47631602948985e-01 4.04782640762115e-01 1.89346120272190e-05 
2.55023591096716e-01 4.04782314435703e-01 2.05583572768047e-05 
2.62415579244447e-01 4.04781908753808e-01 2.31365038559313e-05 
2.69807567392178e-01 4.04781412966482e-01 2.58270150381861e-05 
2.77199555539908e-01 4.04780815760257e-01 2.86297916424028e-05 
2.84591543687639e-01 4.04780105258187e-01 3.15447598519424e-05 
2.91983531835370e-01 4.04779269019899e-01 3.45718628325375e-05 
2.99375519983101e-01 4.04778294041642e-01 3.78763190114182e-05 
3.06767508130832e-01 4.04777149022651e-01 4.16810998952986e-05 
3.14159496278563e-01 4.04775789230433e-01 4.58266424454481e-05 
3.21551484426294e-01 4.04774191638327e-01 5.01204997737757e-05 
3.28943472574025e-01 4.04772332234761e-01 5.45625938203036e-05 
3.36335460721756e-01 4.04770186023467e-01 5.91528584422151e-05 
3.43727448869487e-01 4.04767727023721e-01 6.38912354795514e-05 
3.51119437017217e-01 4.04764928270626e-01 6.89726875604575e-05 
