Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.94163429618778e-02 5.92792329603513e-02 5.74205237602246e-04 
5.82490288856334e-02 5.92561389813888e-02 1.33102775100929e-03 
9.70817148093891e-02 5.92446953717947e-02 1.39553705208428e-03 
1.35914400733145e-01 5.92394351321517e-02 1.46566976745109e-03 
1.74747086656900e-01 5.92367351458445e-02 1.53588678608844e-03 
2.13579772580656e-01 5.92352017925401e-02 1.61076847787989e-03 
2.52412458504412e-01 5.92338673338383e-02 1.68409922482076e-03 
2.91245144428167e-01 5.92321514772219e-02 1.75207393168397e-03 
3.30077830351923e-01 5.92295919939411e-02 1.81562093872409e-03 
3.68910516275679e-01 5.92259603494237e-02 1.87799453417580e-03 
4.07743202199434e-01 5.92210328689729e-02 1.93876182158142e-03 
4.46575888123190e-01 5.92147791340434e-02 1.99866428572583e-03 
4.85408574046945e-01 5.92071510207775e-02 2.05748004445024e-03 
5.24241259970701e-01 5.91980883061559e-02 2.11506364254766e-03 
5.63073945894457e-01 5.91875595567985e-02 2.17146645189929e-03 
6.01906631818212e-01 5.91755067123489e-02 2.22662093008718e-03 
6.40739317741968e-01 5.91618738904500e-02 2.28052792053627e-03 
6.79572003665724e-01 5.91466072886144e-02 2.33318892417552e-03 
7.18404689589479e-01 5.91296552672256e-02 2.38458961735748e-03 
7.57237375513235e-01 5.91109810701068e-02 2.43474467325090e-03 
7.96070061436990e-01 5.90905382629151e-02 2.48364355167380e-03 
8.34902747360746e-01 5.90682822007992e-02 2.53128716016327e-03 
8.73735433284502e-01 5.90441703441041e-02 2.57767813524153e-03 
9.12568119208257e-01 5.90181622407505e-02 2.62282027021894e-03 
9.51400805132013e-01 5.89902195077190e-02 2.66671829652395e-03 
9.90233491055769e-01 5.89603058117530e-02 2.70935176956990e-03 
1.02906617697952e+00 5.89284603528850e-02 2.75070438564749e-03 
1.06789886290328e+00 5.88948786632136e-02 2.79090070664058e-03 
1.10673154882704e+00 5.88595390083525e-02 2.82987658761481e-03 
1.14556423475079e+00 5.88224212224217e-02 2.86764021986382e-03 
1.18439692067455e+00 5.87835066853131e-02 2.90420479038600e-03 
1.22322960659830e+00 5.87427596481053e-02 2.93980750839202e-03 
1.26206229252206e+00 5.86999850996380e-02 2.97474680872286e-03 
1.30089497844581e+00 5.86551533721483e-02 3.00916810123306e-03 
1.33972766436957e+00 5.86083395357117e-02 3.04301819106133e-03 
1.37856035029333e+00 5.85596149731651e-02 3.07624289666005e-03 
1.41739303621708e+00 5.85089601651738e-02 3.10876712539089e-03 
1.45622572214084e+00 5.84563574392865e-02 3.14053993975548e-03 
1.49505840806459e+00 5.84017909264624e-02 3.17149268012599e-03 
1.53389109398835e+00 5.83454010369866e-02 3.20159073585934e-03 
1.57272377991210e+00 5.82874407318666e-02 3.23085446588138e-03 
1.61155646583586e+00 5.82279067895863e-02 3.25923004021344e-03 
1.65038915175961e+00 5.81667972698525e-02 3.28669677754572e-03 
1.68922183768337e+00 5.81041114616062e-02 3.31323804575705e-03 
1.72805452360713e+00 5.80398498335861e-02 3.33884079879368e-03 
1.76688720953088e+00 5.79740139872351e-02 3.36349517374441e-03 
1.80571989545464e+00 5.79066066115808e-02 3.38719413906056e-03 
1.84455258137839e+00 5.78376314399684e-02 3.40993318585936e-03 
1.88338526730215e+00 5.77670932083756e-02 3.43171440858369e-03 
1.92221795322590e+00 5.76949572164250e-02 3.45258533919804e-03 
1.96105063914966e+00 5.76207069448089e-02 3.47247496027000e-03 
1.99988332507342e+00 5.75443435490576e-02 3.49140846900012e-03 
2.03871601099717e+00 5.74658694982300e-02 3.50939044081271e-03 
2.07754869692093e+00 5.73852885361624e-02 3.52642673971928e-03 
2.11638138284468e+00 5.73026056427197e-02 3.54248027722314e-03 
2.15521406876844e+00 5.72183595535643e-02 3.55760655997943e-03 
2.19404675469219e+00 5.71326074054606e-02 3.57183771219438e-03 
2.23287944061595e+00 5.70452266222557e-02 3.58528676717616e-03 
2.27171212653970e+00 5.69559703917319e-02 3.59807557059484e-03 
2.31054481246346e+00 5.68648426125142e-02 3.61025256700917e-03 
2.34937749838722e+00 5.67718484233212e-02 3.62180149669296e-03 
2.38821018431097e+00 5.66769941563233e-02 3.63270892788347e-03 
2.42704287023473e+00 5.65802872909950e-02 3.64296400808660e-03 
2.46587555615848e+00 5.64817364085551e-02 3.65255823738101e-03 
2.50470824208224e+00 5.63813511469939e-02 3.66150064554995e-03 
2.54354092800599e+00 5.62788949692208e-02 3.66978515775123e-03 
2.58237361392975e+00 5.61742273523718e-02 3.67739913645156e-03 
