Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
7.03550211328125e-04 2.17664690061129e+02 1.47387685020115e-01 
2.11065063398438e-03 2.07542164347677e+02 1.55299569103865e-01 
3.51775105664063e-03 1.97376200709262e+02 1.64898934192748e-01 
4.92485147929688e-03 1.87531622440348e+02 1.70422821495866e-01 
6.33195190195313e-03 1.78106240853566e+02 1.76321627532240e-01 
7.73905232460938e-03 1.69132172867628e+02 1.80998821891994e-01 
9.14615274726563e-03 1.60587163865058e+02 1.85263938624884e-01 
1.05532531699219e-02 1.52480835208883e+02 1.89093274064894e-01 
1.19603535925781e-02 1.44776881169221e+02 1.90131321071069e-01 
1.33674540152344e-02 1.37460253879522e+02 1.91212999996607e-01 
1.47745544378906e-02 1.30517738626181e+02 1.92049139506915e-01 
1.61816548605469e-02 1.23929851422259e+02 1.91032381943556e-01 
1.75887552832031e-02 1.17671678521657e+02 1.88739725505076e-01 
1.89958557058594e-02 1.11729690482764e+02 1.86690192419388e-01 
2.04029561285156e-02 1.06090388403988e+02 1.84193245600098e-01 
2.18100565511719e-02 1.00736010411721e+02 1.81015824484493e-01 
2.32171569738281e-02 9.56526518364504e+01 1.77855862648023e-01 
2.46242573964844e-02 9.08280129193896e+01 1.74916715177910e-01 
2.60313578191406e-02 8.62501746647168e+01 1.72207763330630e-01 
2.74384582417969e-02 8.19076457742422e+01 1.69738308389749e-01 
2.88455586644531e-02 7.77893930227560e+01 1.67518133370259e-01 
3.02526590871094e-02 7.38848605101943e+01 1.64708205470790e-01 
3.16597595097656e-02 7.01792780425830e+01 1.60866055964215e-01 
3.30668599324219e-02 6.66610103996787e+01 1.56816614158592e-01 
3.44739603550781e-02 6.33211233908047e+01 1.52955182127107e-01 
3.58810607777344e-02 6.01510541820620e+01 1.49279846090307e-01 
3.72881612003906e-02 5.71426090578226e+01 1.45788647978312e-01 
3.86952616230469e-02 5.42879584656047e+01 1.42479697498609e-01 
4.01023620457031e-02 5.15796301423601e+01 1.39037216974390e-01 
4.15094624683594e-02 4.90089089823216e+01 1.35222787031023e-01 
