Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.57750956313631e-01 2.70602225188760e-02 5.18482809982319e-03 
7.73252868940892e-01 2.68230698306318e-02 1.43725459823317e-02 
1.28875478156815e+00 2.65635863453745e-02 1.35874899505112e-02 
1.80425669419542e+00 2.62694533064148e-02 1.30931997414883e-02 
2.31975860682268e+00 2.59456513146731e-02 1.26388190489776e-02 
2.83526051944994e+00 2.55831944993322e-02 1.22012694650853e-02 
3.35076243207720e+00 2.51742622942196e-02 1.17834495854170e-02 
3.86626434470446e+00 2.47297111943842e-02 1.13827052527041e-02 
4.38176625733172e+00 2.42531200282463e-02 1.10037824454847e-02 
4.89726816995898e+00 2.37438197969258e-02 1.06508103485860e-02 
5.41277008258624e+00 2.32064769096479e-02 1.03207651478693e-02 
5.92827199521351e+00 2.26374051799287e-02 1.00106291586559e-02 
6.44377390784077e+00 2.20371392662393e-02 9.71680352841083e-03 
6.95927582046803e+00 2.14052038568793e-02 9.43883253769302e-03 
7.47477773309529e+00 2.07349534442619e-02 9.17601666763342e-03 
7.99027964572255e+00 2.00173631986307e-02 8.92817840604994e-03 
8.50578155834981e+00 1.92616542504885e-02 8.69245127377605e-03 
9.02128347097707e+00 1.84768275771362e-02 8.46763978701424e-03 
9.53678538360434e+00 1.76643667506545e-02 8.25351269008896e-03 
1.00522872962316e+01 1.68256542237299e-02 8.05105237266703e-03 
1.05677892088589e+01 1.59879912473858e-02 7.85757086987290e-03 
1.10832911214861e+01 1.51681321915086e-02 7.67153368663715e-03 
1.15987930341134e+01 1.43653580348796e-02 7.49057627163151e-03 
1.21142949467406e+01 1.35783918841394e-02 7.31114487616723e-03 
1.26297968593679e+01 1.28155384277324e-02 7.13034448012703e-03 
1.31452987719952e+01 1.20797639657402e-02 6.94811115668881e-03 
1.36608006846224e+01 1.13705633944576e-02 6.76455826127428e-03 
1.41763025972497e+01 1.06875151998043e-02 6.57938809993711e-03 
1.46918045098770e+01 1.00301751977746e-02 6.39235073288311e-03 
1.52073064225042e+01 9.39792052579637e-03 6.20321076618208e-03 
1.57228083351315e+01 8.79278043583575e-03 6.01119986572981e-03 
1.62383102477587e+01 8.21391516335995e-03 5.80685437408109e-03 
1.67538121603860e+01 7.66071572564174e-03 5.59167711939553e-03 
1.72693140730133e+01 7.13361764121257e-03 5.36846606338093e-03 
1.77848159856405e+01 6.63652346424697e-03 5.13792408686524e-03 
1.83003178982678e+01 6.16834295648956e-03 4.90195986449129e-03 
1.88158198108950e+01 5.72955044556434e-03 4.66266569819002e-03 
1.93313217235223e+01 5.31910512436624e-03 4.42284223030809e-03 
1.98468236361496e+01 4.93700640991351e-03 4.18377330415839e-03 
2.03623255487768e+01 4.58066630517828e-03 3.94759296541953e-03 
2.08778274614041e+01 4.24589269031544e-03 3.71666631686986e-03 
2.13933293740313e+01 3.93151182157978e-03 3.49202342418353e-03 
2.19088312866586e+01 3.63740581481846e-03 3.27384007291704e-03 
2.24243331992859e+01 3.36246997009896e-03 3.06382174660258e-03 
2.29398351119131e+01 3.10690940971053e-03 2.86255254828977e-03 
2.34553370245404e+01 2.86934040081749e-03 2.67113004293005e-03 
2.39708389371677e+01 2.64912830753278e-03 2.48901765225404e-03 
2.44863408497949e+01 2.44502336236351e-03 2.31649631553124e-03 
2.50018427624222e+01 2.25637997299776e-03 2.15311521565277e-03 
2.55173446750494e+01 2.08160592147144e-03 1.99937249829739e-03 
2.60328465876767e+01 1.91954428167832e-03 1.85497171888224e-03 
2.65483485003040e+01 1.76920302887718e-03 1.71965753942510e-03 
2.70638504129312e+01 1.63002612264423e-03 1.59284257884363e-03 
2.75793523255585e+01 1.50123576222493e-03 1.47445747326138e-03 
2.80948542381857e+01 1.38232741480139e-03 1.36398446343989e-03 
2.86103561508130e+01 1.27247898166941e-03 1.26115960992842e-03 
2.91258580634403e+01 1.17116882506315e-03 1.16534294235224e-03 
2.96413599760675e+01 1.07768856517645e-03 1.07622020900294e-03 
3.01568618886948e+01 9.91575159145960e-04 9.93312120904726e-04 
3.06723638013221e+01 9.12179723391749e-04 9.16507974849961e-04 
3.11878657139493e+01 8.39063221621287e-04 8.45384663151720e-04 
3.17033676265766e+01 7.71681132368488e-04 7.79633965576664e-04 
3.22188695392038e+01 7.09655717223413e-04 7.18778921955317e-04 
3.27343714518311e+01 6.52525061192867e-04 6.62540245918827e-04 
3.32498733644584e+01 5.99969764604162e-04 6.10561678534131e-04 
3.37653752770856e+01 5.51631291396059e-04 5.62627200988506e-04 
3.42808771897129e+01 5.07209730400728e-04 5.18410463769439e-04 
3.47963791023401e+01 4.66357493924347e-04 4.77668851385800e-04 
3.53118810149674e+01 4.28820943030412e-04 4.40098256439412e-04 
3.58273829275947e+01 3.94314024154901e-04 4.05484513677845e-04 
3.63428848402219e+01 3.62605256962445e-04 3.73557335079482e-04 
3.68583867528492e+01 3.33450070531977e-04 3.44125311158992e-04 
3.73738886654764e+01 3.06663667436798e-04 3.16973626819757e-04 
3.78893905781037e+01 2.82045951166847e-04 2.91971222056030e-04 
3.84048924907310e+01 2.59452610945357e-04 2.68946518912513e-04 
3.89203944033582e+01 2.38702176597799e-04 2.47774153260493e-04 
3.94358963159855e+01 2.19653788603731e-04 2.28284138095374e-04 
3.99513982286128e+01 2.02156196934887e-04 2.10358969797441e-04 
