Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.45477101251077e-01 3.06381842489036e-02 4.27026879662366e-03 
7.36431303753231e-01 3.04258364679208e-02 1.40517887094067e-02 
1.22738550625538e+00 3.01656187574791e-02 1.32949528891061e-02 
1.71833970875754e+00 2.98532492888287e-02 1.27971352246158e-02 
2.20929391125969e+00 2.95049074319613e-02 1.23313817453719e-02 
2.70024811376185e+00 2.91089783709348e-02 1.18862078331719e-02 
3.19120231626400e+00 2.86540808921260e-02 1.14656000623319e-02 
3.68215651876615e+00 2.81549085673693e-02 1.10646505483931e-02 
4.17311072126831e+00 2.76173662773238e-02 1.06892392905409e-02 
4.66406492377046e+00 2.70389685599730e-02 1.03436882845592e-02 
5.15501912627261e+00 2.64279286519903e-02 1.00235307090182e-02 
5.64597332877477e+00 2.57801928318756e-02 9.72676567517725e-03 
6.13692753127692e+00 2.50961265163271e-02 9.44678711922409e-03 
6.62788173377907e+00 2.43746932851103e-02 9.18174473358348e-03 
7.11883593628123e+00 2.36170300197869e-02 8.92960128508577e-03 
7.60979013878338e+00 2.28084913635716e-02 8.69097052960724e-03 
8.10074434128554e+00 2.19462292837774e-02 8.46412365586150e-03 
8.59169854378769e+00 2.10443193607722e-02 8.24659735943013e-03 
9.08265274628984e+00 2.01094438012040e-02 8.03805748051312e-03 
9.57360694879200e+00 1.91434014990233e-02 7.83816055355091e-03 
1.00645611512941e+01 1.81478811688612e-02 7.64800323637041e-03 
1.05555153537963e+01 1.71558816736034e-02 7.46506379817726e-03 
1.10464695562985e+01 1.61852488583677e-02 7.28839767068018e-03 
1.15374237588006e+01 1.52352230627373e-02 7.11581268373922e-03 
1.20283779613028e+01 1.43046467595758e-02 6.94315103582410e-03 
1.25193321638049e+01 1.34018751895396e-02 6.76724220317439e-03 
1.30102863663071e+01 1.25336762852397e-02 6.58773243047375e-03 
1.35012405688092e+01 1.16995194670243e-02 6.40543952010984e-03 
1.39921947713114e+01 1.08990994071755e-02 6.22052024384302e-03 
1.44831489738135e+01 1.01317616217350e-02 6.03325380452266e-03 
1.49741031763157e+01 9.39712813888755e-03 5.84361224561954e-03 
