Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.50159427101690e-03 8.40845022527851e-01 1.24523593563728e-04 
7.50478281305069e-03 8.40566311850579e-01 1.69099081243877e-04 
1.25079713550845e-02 8.40249546331027e-01 2.30138790375447e-04 
1.75111598971183e-02 8.39933901690824e-01 2.74184331024218e-04 
2.25143484391521e-02 8.39617933928562e-01 3.10029928807372e-04 
2.75175369811859e-02 8.39309037312693e-01 3.33120290203379e-04 
3.25207255232196e-02 8.39028762010778e-01 3.50641052027242e-04 
3.75239140652534e-02 8.38758108940106e-01 3.66657750519168e-04 
4.25271026072872e-02 8.38506975545915e-01 3.78886101665557e-04 
4.75302911493210e-02 8.38266927050190e-01 3.89128533740860e-04 
5.25334796913548e-02 8.38043522918633e-01 3.93333745549498e-04 
5.75366682333886e-02 8.37838620966478e-01 3.91816168337948e-04 
6.25398567754224e-02 8.37655587009146e-01 3.83539614242718e-04 
6.75430453174562e-02 8.37496779456322e-01 3.68594562849699e-04 
7.25462338594900e-02 8.37363423743618e-01 3.56344159619910e-04 
7.75494224015238e-02 8.37242433504903e-01 3.49349377995321e-04 
8.25526109435576e-02 8.37134783184574e-01 3.38295906880803e-04 
8.75557994855914e-02 8.37041084577945e-01 3.23189869516286e-04 
9.25589880276252e-02 8.36961586934530e-01 3.04040226526589e-04 
9.75621765696589e-02 8.36896176954620e-01 2.80969679309648e-04 
1.02565365111693e-01 8.36844283318175e-01 2.63027553157895e-04 
1.07568553653727e-01 8.36798229846054e-01 2.52737185141531e-04 
1.12571742195760e-01 8.36758076748560e-01 2.40305637569611e-04 
1.17574930737794e-01 8.36723783146713e-01 2.25809658937560e-04 
1.22578119279828e-01 8.36695165067521e-01 2.14201514272348e-04 
1.27581307821862e-01 8.36669435292443e-01 2.06575425599186e-04 
1.32584496363895e-01 8.36646607904178e-01 1.97669874359103e-04 
1.37587684905929e-01 8.36626661000900e-01 1.87486507388040e-04 
1.42590873447963e-01 8.36609536695316e-01 1.76027677961300e-04 
1.47594061989997e-01 8.36595141112066e-01 1.63360302427934e-04 
1.52597250532031e-01 8.36583323065285e-01 1.52910298309347e-04 
1.57600439074064e-01 8.36572902378411e-01 1.45436067114337e-04 
1.62603627616098e-01 8.36563848020175e-01 1.37172997034301e-04 
1.67606816158132e-01 8.36556115225831e-01 1.28183644212998e-04 
1.72610004700166e-01 8.36549631428259e-01 1.21363441898615e-04 
1.77613193242200e-01 8.36543727456677e-01 1.17235129675986e-04 
1.82616381784233e-01 8.36538398740129e-01 1.12677104767755e-04 
1.87619570326267e-01 8.36533636659721e-01 1.07689703883617e-04 
1.92622758868301e-01 8.36529428548588e-01 1.02273374659225e-04 
1.97625947410335e-01 8.36525757691811e-01 9.65175199549567e-05 
2.02629135952369e-01 8.36522590314859e-01 9.40523226545615e-05 
2.07632324494402e-01 8.36519419042857e-01 9.52440384463617e-05 
2.12635513036436e-01 8.36516246643312e-01 9.63812642887349e-05 
2.17638701578470e-01 8.36513075819078e-01 9.74640012462055e-05 
2.22641890120504e-01 8.36509909208365e-01 9.84922503838503e-05 
2.27645078662538e-01 8.36506749384737e-01 9.94660127480830e-05 
2.32648267204571e-01 8.36503598857112e-01 1.00385289393829e-04 
2.37651455746605e-01 8.36500460069769e-01 1.01250081390456e-04 
2.42654644288639e-01 8.36497335402343e-01 1.02060389786346e-04 
2.47657832830673e-01 8.36494227169834e-01 1.02949804254132e-04 
2.52661021372707e-01 8.36491121573759e-01 1.08225761152548e-04 
2.57664209914740e-01 8.36487508249544e-01 1.17607771145845e-04 
2.62667398456774e-01 8.36483339839271e-01 1.27271595738737e-04 
2.67670586998808e-01 8.36478567263455e-01 1.37217093543330e-04 
2.72673775540842e-01 8.36473139721565e-01 1.47444138562280e-04 
2.77676964082875e-01 8.36467004692606e-01 1.57952614900359e-04 
2.82680152624909e-01 8.36460107935764e-01 1.68742412847108e-04 
2.87683341166943e-01 8.36452393491118e-01 1.79813425959461e-04 
2.92686529708977e-01 8.36443803680422e-01 1.91165548828562e-04 
2.97689718251011e-01 8.36434279107966e-01 2.02853303342179e-04 
3.02692906793044e-01 8.36423748152049e-01 2.16275681238063e-04 
3.07696095335078e-01 8.36411865268487e-01 2.31283114513499e-04 
3.12699283877112e-01 8.36398529633157e-01 2.46661981460391e-04 
3.17702472419146e-01 8.36383637425168e-01 2.62412043547651e-04 
3.22705660961180e-01 8.36367081829602e-01 2.78533057676451e-04 
3.27708849503213e-01 8.36348753040498e-01 2.95024773101602e-04 
3.32712038045247e-01 8.36328538264117e-01 3.11886928883185e-04 
3.37715226587281e-01 8.36306321722487e-01 3.29119251681152e-04 
3.42718415129315e-01 8.36281984657248e-01 3.46721453843144e-04 
3.47721603671349e-01 8.36255405333814e-01 3.64741213394004e-04 
3.52724792213382e-01 8.36226444773011e-01 3.84219030709656e-04 
3.57727980755416e-01 8.36194652133367e-01 4.05051356216290e-04 
3.62731169297450e-01 8.36159862589730e-01 4.26310710556612e-04 
3.67734357839484e-01 8.36121907348375e-01 4.47996590160894e-04 
3.72737546381518e-01 8.36080613655755e-01 4.70108461177805e-04 
3.77740734923551e-01 8.36035804807904e-01 4.92645757320287e-04 
3.82743923465585e-01 8.35987300160539e-01 5.15607877811048e-04 
3.87747112007619e-01 8.35934915139882e-01 5.38994185409901e-04 
3.92750300549653e-01 8.35878461254244e-01 5.62804004490278e-04 
3.97753489091687e-01 8.35817746106382e-01 5.87012711850528e-04 
4.02756677633720e-01 8.35752583462520e-01 6.11170823894248e-04 
4.07759866175754e-01 8.35682968771766e-01 6.35318112971554e-04 
4.12763054717788e-01 8.35608714319223e-01 6.59863648709026e-04 
4.17766243259822e-01 8.35529628938479e-01 6.84806611939438e-04 
4.22769431801855e-01 8.35445518026294e-01 7.10146139284573e-04 
4.27772620343889e-01 8.35356183558139e-01 7.35881321556265e-04 
4.32775808885923e-01 8.35261424104594e-01 7.62011202173636e-04 
4.37778997427957e-01 8.35161034848647e-01 7.88534775537169e-04 
4.42782185969991e-01 8.35054807603927e-01 8.15450985401119e-04 
4.47785374512024e-01 8.34942530833889e-01 8.42758723242485e-04 
4.52788563054058e-01 8.34823989671999e-01 8.70456826610387e-04 
4.57791751596092e-01 8.34698965942927e-01 8.98544077455965e-04 
4.62794940138126e-01 8.34567238184806e-01 9.27019200454347e-04 
4.67798128680160e-01 8.34428581672572e-01 9.55880861323131e-04 
4.72801317222193e-01 8.34282768442412e-01 9.85127665117384e-04 
4.77804505764227e-01 8.34129567317369e-01 1.01475815450610e-03 
4.82807694306261e-01 8.33968743934130e-01 1.04477080804873e-03 
4.87810882848295e-01 8.33800060771019e-01 1.07516403845422e-03 
4.92814071390329e-01 8.33623277177241e-01 1.10593619082805e-03 
4.97817259932362e-01 8.33438149403407e-01 1.13706718903885e-03 
5.02820448474396e-01 8.33244442715010e-01 1.16828368072611e-03 
5.07823637016430e-01 8.33042090238844e-01 1.19960783804896e-03 
5.12826825558464e-01 8.32830849514162e-01 1.23129314148873e-03 
5.17830014100498e-01 8.32610475285091e-01 1.26333765451924e-03 
5.22833202642531e-01 8.32380719535650e-01 1.29573936672520e-03 
5.27836391184565e-01 8.32141331526138e-01 1.32849619212001e-03 
5.32839579726599e-01 8.31892057830897e-01 1.36160596746261e-03 
5.37842768268633e-01 8.31632642377506e-01 1.39506645055989e-03 
5.42845956810666e-01 8.31362826487418e-01 1.42887531857527e-03 
5.47849145352700e-01 8.31082348918079e-01 1.46303016633168e-03 
5.52852333894734e-01 8.30790945906552e-01 1.49752850461411e-03 
5.57855522436768e-01 8.30488351214682e-01 1.53236775847184e-03 
5.62858710978802e-01 8.30174296175827e-01 1.56754526552146e-03 
5.67861899520835e-01 8.29848509743188e-01 1.60305827425113e-03 
5.72865088062869e-01 8.29510718539758e-01 1.63890394232991e-03 
5.77868276604903e-01 8.29160646909932e-01 1.67507933492410e-03 
5.82871465146937e-01 8.28798016972792e-01 1.71158142300774e-03 
5.87874653688971e-01 8.28422548677109e-01 1.74840708169533e-03 
5.92877842231004e-01 8.28033959858071e-01 1.78555308857110e-03 
5.97881030773038e-01 8.27631966295789e-01 1.82301612203128e-03 
6.02884219315072e-01 8.27216281775582e-01 1.86079275964117e-03 
6.07887407857106e-01 8.26786618150083e-01 1.89887947649521e-03 
6.12890596399140e-01 8.26342685403185e-01 1.93727264359765e-03 
6.17893784941173e-01 8.25884191715860e-01 1.97596852625565e-03 
6.22896973483207e-01 8.25410843533858e-01 2.01496328249057e-03 
6.27900162025241e-01 8.24922345637331e-01 2.05425296146198e-03 
6.32903350567275e-01 8.24418401212389e-01 2.09383350191878e-03 
6.37906539109309e-01 8.23898711924614e-01 2.13370073066297e-03 
6.42909727651342e-01 8.23362977994559e-01 2.17385036103925e-03 
6.47912916193376e-01 8.22810898275251e-01 2.21427799145461e-03 
6.52916104735410e-01 8.22242170331700e-01 2.25497910391332e-03 
6.57919293277444e-01 8.21656490522467e-01 2.29594906258381e-03 
6.62922481819478e-01 8.21053554083276e-01 2.33718311239858e-03 
6.67925670361511e-01 8.20433055212703e-01 2.37867637768097e-03 
6.72928858903545e-01 8.19794687159957e-01 2.42042386080187e-03 
6.77932047445579e-01 8.19138142314759e-01 2.46242044087755e-03 
6.82935235987613e-01 8.18463112299346e-01 2.50466087250005e-03 
6.87938424529646e-01 8.17769288062597e-01 2.54713978450394e-03 
6.92941613071680e-01 8.17056359976301e-01 2.58985167877813e-03 
6.97944801613714e-01 8.16324017933576e-01 2.63277942742819e-03 
7.02947990155748e-01 8.15571964382080e-01 2.67579940333213e-03 
7.07951178697782e-01 8.14800023108276e-01 2.71891878271594e-03 
7.12954367239815e-01 8.14007887728854e-01 2.76224548471071e-03 
7.17957555781849e-01 8.13195251811330e-01 2.80577344193176e-03 
7.22960744323883e-01 8.12361808980940e-01 2.84949645643455e-03 
7.27963932865917e-01 8.11507253029652e-01 2.89340819888428e-03 
7.32967121407951e-01 8.10631278027284e-01 2.93750220777901e-03 
7.37970309949984e-01 8.09733578434733e-01 2.98177188873015e-03 
7.42973498492018e-01 8.08813849219306e-01 3.02621051380134e-03 
7.47976687034052e-01 8.07871785972151e-01 3.07081122090714e-03 
7.52979875576086e-01 8.06907085027772e-01 3.11556701327536e-03 
7.57983064118120e-01 8.05919443585628e-01 3.16047075897504e-03 
7.62986252660153e-01 8.04908559833787e-01 3.20551519051037e-03 
7.67989441202187e-01 8.03874133074647e-01 3.25069290448248e-03 
7.72992629744221e-01 8.02815863852680e-01 3.29599636132208e-03 
7.77995818286255e-01 8.01733454084196e-01 3.34141788509739e-03 
7.82999006828288e-01 8.00626607189111e-01 3.38694966339568e-03 
7.88002195370322e-01 7.99495028224678e-01 3.43258374728158e-03 
7.93005383912356e-01 7.98338424021174e-01 3.47831205133601e-03 
7.98008572454390e-01 7.97156503319512e-01 3.52412635377665e-03 
8.03011760996424e-01 7.95948976910734e-01 3.57001829666048e-03 
8.08014949538457e-01 7.94715557777380e-01 3.61597938617136e-03 
8.13018138080491e-01 7.93455961236673e-01 3.66200099299736e-03 
8.18021326622525e-01 7.92169905085499e-01 3.70807435279668e-03 
8.23024515164559e-01 7.90857109747136e-01 3.75419056675567e-03 
8.28027703706593e-01 7.89517298419694e-01 3.80034060223767e-03 
8.33030892248626e-01 7.88150197226222e-01 3.84651529353093e-03 
8.38034080790660e-01 7.86755535366432e-01 3.89270534269468e-03 
8.43037269332694e-01 7.85333045269987e-01 3.93890132049773e-03 
8.48040457874728e-01 7.83882462751319e-01 3.98509366746679e-03 
8.53043646416762e-01 7.82403527165896e-01 4.03127269503602e-03 
8.58046834958795e-01 7.80895981567905e-01 4.07742858679511e-03 
8.63050023500829e-01 7.79359572869269e-01 4.12355139985108e-03 
8.68053212042863e-01 7.77794051999960e-01 4.16963106629803e-03 
8.73056400584897e-01 7.76199174069511e-01 4.21565739479324e-03 
8.78059589126931e-01 7.74574698529692e-01 4.26162007224725e-03 
8.83062777668964e-01 7.72920389338249e-01 4.30750866562710e-03 
8.88065966210998e-01 7.71236015123654e-01 4.35331262387421e-03 
8.93069154753032e-01 7.69521349350776e-01 4.39902127993994e-03 
8.98072343295066e-01 7.67776170487392e-01 4.44462385293626e-03 
9.03075531837100e-01 7.66000262171471e-01 4.49010945040666e-03 
9.08078720379133e-01 7.64193413379123e-01 4.53546707071754e-03 
9.13081908921167e-01 7.62355418593139e-01 4.58068560557111e-03 
9.18085097463201e-01 7.60486077972032e-01 4.62575384264116e-03 
9.23088286005235e-01 7.58585197519469e-01 4.67066046833066e-03 
9.28091474547268e-01 7.56652589254018e-01 4.71539407065550e-03 
9.33094663089302e-01 7.54688071379089e-01 4.75994314225245e-03 
9.38097851631336e-01 7.52691468452986e-01 4.80429608351478e-03 
9.43101040173370e-01 7.50662611558945e-01 4.84844120585236e-03 
9.48104228715404e-01 7.48601338475063e-01 4.89236673508066e-03 
9.53107417257437e-01 7.46507493844007e-01 4.93606081493823e-03 
9.58110605799471e-01 7.44380929342374e-01 4.97951151072965e-03 
9.63113794341505e-01 7.42221503849607e-01 5.02270681309902e-03 
9.68116982883539e-01 7.40029083616324e-01 5.06563464193200e-03 
9.73120171425573e-01 7.37803542431964e-01 5.10828285038392e-03 
9.78123359967606e-01 7.35544761791604e-01 5.15063922903879e-03 
9.83126548509640e-01 7.33252631061824e-01 5.19269151019532e-03 
9.88129737051674e-01 7.30927047645508e-01 5.23442737227940e-03 
9.93132925593708e-01 7.28567917145424e-01 5.27583444438783e-03 
9.98136114135742e-01 7.26175153526465e-01 5.31650233793215e-03 
1.00313930267778e+00 7.23749412009944e-01 5.35370197957605e-03 
1.00814249121981e+00 7.21295680689900e-01 5.38786608492781e-03 
1.01314567976184e+00 7.18813955662106e-01 5.42168932932872e-03 
1.01814886830388e+00 7.16304239552802e-01 5.45516260285642e-03 
1.02315205684591e+00 7.13766541602304e-01 5.48827679820627e-03 
1.02815524538794e+00 7.11200877747003e-01 5.52102281413754e-03 
1.03315843392998e+00 7.08607270699685e-01 5.55339155897382e-03 
1.03816162247201e+00 7.05985750028111e-01 5.58537395416014e-03 
1.04316481101405e+00 7.03336352231754e-01 5.61696093787935e-03 
1.04816799955608e+00 7.00659120816648e-01 5.64814346871885e-03 
1.05317118809811e+00 6.97954106368249e-01 5.67891252939373e-03 
1.05817437664015e+00 6.95221366622243e-01 5.70925913051780e-03 
1.06317756518218e+00 6.92460966533226e-01 5.73917431442576e-03 
1.06818075372421e+00 6.89672978341173e-01 5.76864915904582e-03 
1.07318394226625e+00 6.86857481635622e-01 5.79767478181525e-03 
1.07818713080828e+00 6.84014563417506e-01 5.82624234364230e-03 
1.08319031935032e+00 6.81144318158538e-01 5.85434305291350e-03 
1.08819350789235e+00 6.78246847858091e-01 5.88196816953833e-03 
1.09319669643438e+00 6.75322262097488e-01 5.90910900903449e-03 
1.09819988497642e+00 6.72370678091630e-01 5.93575694665280e-03 
1.10320307351845e+00 6.69392220737883e-01 5.96190342153304e-03 
1.10820626206049e+00 6.66387022662158e-01 5.98753994089533e-03 
1.11320945060252e+00 6.63355224262099e-01 6.01265808426215e-03 
1.11821263914455e+00 6.60296973747318e-01 6.03724950770621e-03 
1.12321582768659e+00 6.57212427176591e-01 6.06130594812650e-03 
1.12821901622862e+00 6.54101748491957e-01 6.08481922754804e-03 
1.13322220477065e+00 6.50965109549640e-01 6.10778125744157e-03 
1.13822539331269e+00 6.47802690147731e-01 6.13018404306109e-03 
1.14322858185472e+00 6.44614678050547e-01 6.15201968779677e-03 
1.14823177039676e+00 6.41401269009624e-01 6.17328039754194e-03 
1.15323495893879e+00 6.38162666781257e-01 6.19395848507082e-03 
1.15823814748082e+00 6.34899083140523e-01 6.21404637442209e-03 
1.16324133602286e+00 6.31610737891739e-01 6.23353660528473e-03 
