Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
7.03550211328125e-04 2.38002061723762e+02 1.28642361241277e-01 
2.11065063398438e-03 2.26322573441489e+02 1.33965022954847e-01 
3.51775105664063e-03 2.14866342517907e+02 1.39941606034193e-01 
4.92485147929688e-03 2.03873419590445e+02 1.43639141031597e-01 
6.33195190195313e-03 1.93396049115246e+02 1.48106715449347e-01 
7.73905232460938e-03 1.83442584558638e+02 1.51694238709552e-01 
9.14615274726563e-03 1.73986444840012e+02 1.55034087033387e-01 
1.05532531699219e-02 1.65022248369749e+02 1.58066769467843e-01 
1.19603535925781e-02 1.56515505635086e+02 1.58722967322542e-01 
1.33674540152344e-02 1.48446048655420e+02 1.59465455373048e-01 
1.47745544378906e-02 1.40795426288761e+02 1.60030748790342e-01 
1.61816548605469e-02 1.33541668898487e+02 1.59015470880848e-01 
1.75887552832031e-02 1.26659819376787e+02 1.56920770430459e-01 
1.89958557058594e-02 1.20132718212624e+02 1.55063013160285e-01 
2.04029561285156e-02 1.13943665406780e+02 1.52838303499199e-01 
2.18100565511719e-02 1.08073650786696e+02 1.50042705998597e-01 
2.32171569738281e-02 1.02506542236894e+02 1.47279127796735e-01 
2.46242573964844e-02 9.72276151414396e+01 1.44720572770304e-01 
2.60313578191406e-02 9.22227482341926e+01 1.42372443353359e-01 
2.74384582417969e-02 8.74784357237075e+01 1.40240772364433e-01 
2.88455586644531e-02 8.29817894494397e+01 1.38332609962901e-01 
3.02526590871094e-02 7.87205346498784e+01 1.35920130418543e-01 
3.16597595097656e-02 7.46799967075495e+01 1.32620287948680e-01 
3.30668599324219e-02 7.08477857532413e+01 1.29148550619150e-01 
3.44739603550781e-02 6.72135003190908e+01 1.25846679892341e-01 
3.58810607777344e-02 6.37672233308209e+01 1.22711663339518e-01 
3.72881612003906e-02 6.04995079390283e+01 1.19740691740963e-01 
3.86952616230469e-02 5.74013622094272e+01 1.16931224098421e-01 
4.01023620457031e-02 5.44642331732990e+01 1.14009293356820e-01 
4.15094624683594e-02 5.16789776288488e+01 1.10768495740898e-01 
4.29165628910156e-02 4.90371851028778e+01 1.07477627639232e-01 
4.43236633136719e-02 4.65316159638929e+01 1.04333651590924e-01 
4.57307637363281e-02 4.41553829379056e+01 1.01332089801194e-01 
4.71378641589844e-02 4.19019366484017e+01 9.84686656376235e-02 
4.85449645816406e-02 3.97650513672797e+01 9.57393173071606e-02 
4.99520650042969e-02 3.77388110686032e+01 9.31076823624237e-02 
5.13591654269531e-02 3.58174803171550e+01 9.05332506697090e-02 
5.27662658496094e-02 3.39955971014861e+01 8.80452301950748e-02 
5.41733662722656e-02 3.22681073957990e+01 8.56771508815317e-02 
5.55804666949219e-02 3.06302125811508e+01 8.34256819540277e-02 
5.69875671175781e-02 2.90773578016229e+01 8.12877355519574e-02 
5.83946675402344e-02 2.76052208027073e+01 7.92604744671528e-02 
5.98017679628906e-02 2.62097012624425e+01 7.73413207251884e-02 
6.12088683855469e-02 2.48869106230966e+01 7.55279653075217e-02 
6.26159688082031e-02 2.36331624298798e+01 7.38183793029146e-02 
6.40230692308594e-02 2.24449631831949e+01 7.22108267674873e-02 
6.54301696535156e-02 2.13190037122912e+01 7.07038795582780e-02 
6.68372700761719e-02 2.02521510809735e+01 6.92964343774248e-02 
6.82443704988281e-02 1.92414410403985e+01 6.79877322110195e-02 
6.96514709214844e-02 1.82840710502680e+01 6.66686338887978e-02 
7.10585713441406e-02 1.73769535121176e+01 6.50116002179936e-02 
7.24656717667969e-02 1.65162727047794e+01 6.31210951090721e-02 
7.38727721894532e-02 1.56996928847667e+01 6.13157147255841e-02 
7.52798726121094e-02 1.49249966408156e+01 5.95925858482463e-02 
7.66869730347656e-02 1.41900793300752e+01 5.79489864624874e-02 
7.80940734574219e-02 1.34929437804562e+01 5.63823433453814e-02 
7.95011738800781e-02 1.28316952536439e+01 5.48902297278766e-02 
8.09082743027344e-02 1.22045366635260e+01 5.34703630165079e-02 
8.23153747253906e-02 1.16097640452299e+01 5.21206025376863e-02 
8.37224751480469e-02 1.10457622705991e+01 5.08389472404052e-02 
8.51295755707032e-02 1.05110010067868e+01 4.96235332571854e-02 
8.65366759933594e-02 1.00040309157195e+01 4.84726311746901e-02 
8.79437764160157e-02 9.52348009352073e+00 4.73846427997209e-02 
8.93508768386719e-02 9.06805075062010e+00 4.63580971163422e-02 
9.07579772613281e-02 8.63651613526872e+00 4.53916450060513e-02 
9.21650776839844e-02 8.22771770560225e+00 4.44840521316382e-02 
9.35721781066406e-02 7.84056255832841e+00 4.36341891475303e-02 
